Time, Data
1.70095e+09,-0.980171,81726.1
1.70095e+09,-0.953916,81726.1
1.70095e+09,-0.949995,81726.1
1.70095e+09,-0.940375,81726.1
1.70095e+09,-0.928136,81726.1
1.70095e+09,-0.917917,81726.1
1.70095e+09,-0.903649,81726.1
1.70095e+09,-0.893748,81726.1
1.70095e+09,-0.878234,81726.1
1.70095e+09,-0.870005,81726.1
1.70095e+09,-0.844354,81726.1
1.70095e+09,-0.822861,81726.1
1.70095e+09,-0.80361,81726.1
1.70095e+09,-0.78791,81726.1
1.70095e+09,-0.770714,81726.1
1.70095e+09,-0.751383,81726.1
1.70095e+09,-0.72819,81726.1
1.70095e+09,-0.678586,81726.1
1.70095e+09,-0.655371,81726.1
1.70095e+09,-0.630457,81726.1
1.70095e+09,-0.608664,81726.1
1.70095e+09,-0.576874,81726.1
1.70095e+09,-0.540847,81726.1
1.70095e+09,-0.505939,81726.1
1.70095e+09,-0.481472,81726.1
1.70095e+09,-0.45785,81726.1
1.70095e+09,-0.435336,81726.1
1.70095e+09,-0.407803,81726.1
1.70095e+09,-0.365319,81726.1
1.70095e+09,-0.335943,81726.1
1.70095e+09,-0.283369,81726.1
1.70095e+09,-0.246396,81726.1
1.70095e+09,-0.217137,81726.1
1.70095e+09,-0.190063,81726.1
1.70095e+09,-0.140653,81726.1
1.70095e+09,-0.102537,81726.1
1.70095e+09,-0.0742488,81726.1
1.70095e+09,-0.00730816,81726.1
1.70095e+09,0.0485351,81726.1
1.70095e+09,0.0848804,81726.1
1.70095e+09,0.113258,81726.1
1.70095e+09,0.151269,81726.1
1.70095e+09,0.202781,81726.1
1.70095e+09,0.239523,81726.1
1.70095e+09,0.275165,81726.1
1.70095e+09,0.304871,81726.1
1.70095e+09,0.343174,81726.1
1.70095e+09,0.372887,81726.1
1.70095e+09,0.404914,81726.1
1.70095e+09,0.420117,81726.1
1.70095e+09,0.462095,81726.1
1.70095e+09,0.495892,81726.1
1.70095e+09,0.523826,81726.1
1.70095e+09,0.54958,81726.1
1.70095e+09,0.584672,81726.1
1.70095e+09,0.625522,81726.1
1.70095e+09,0.658278,81726.1
1.70095e+09,0.688742,81726.1
1.70095e+09,0.716798,81726.1
1.70095e+09,0.740794,81726.1
1.70095e+09,0.765214,81726.1
1.70095e+09,0.80292,81726.1
1.70095e+09,0.837678,81726.1
1.70095e+09,0.855492,81726.1
1.70095e+09,0.869549,81726.1
1.70095e+09,0.89014,81726.1
1.70095e+09,0.906438,81726.1
1.70095e+09,0.930842,81726.1
1.70095e+09,0.945803,81726.1
1.70095e+09,0.956793,81726.1
1.70095e+09,0.967703,81726.1
1.70095e+09,0.97631,81726.1
1.70095e+09,0.983432,81726.1
1.70095e+09,0.99238,81726.1
1.70095e+09,0.997354,81726.1
1.70095e+09,0.999125,81726.1
1.70095e+09,1,81726.1
1.70095e+09,0.99906,81726.1
1.70095e+09,0.994731,81726.1
1.70095e+09,0.989272,81726.1
1.70095e+09,0.982451,81726.1
1.70095e+09,0.97394,81726.1
1.70095e+09,0.961728,81726.1
1.70095e+09,0.945571,81726.1
1.70095e+09,0.933257,81726.1
